country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,2940000,,,3340000,3580000,4200000,5390000,6130000,,,,,,,,,,,,,,,,,,,,,,,,,,,125000000,123000000,131000000,220000000,241000000,252000000,298000000,326000000,239000000,217000000,268000000,200000000,186000000,191000000,198000000
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31600000,39300000,49600000,50900000,45700000,29800000,33600000,42800000,45400000,53200000,58600000,76100000,101000000,110000000,141000000,195000000,256000000,183000000,186000000,197000000,183000000,180000000,178000000,132000000,131000000,144000000,180000000
Algeria,,,,66400000,99900000,106000000,105000000,99200000,99200000,99200000,98800000,99900000,110000000,137000000,260000000,332000000,481000000,472000000,628000000,712000000,890000000,807000000,932000000,952000000,929000000,953000000,1130000000,1200000000,1030000000,854000000,904000000,565000000,1050000000,1280000000,1330000000,1230000000,1450000000,1750000000,1910000000,1830000000,1880000000,2090000000,2100000000,2210000000,2800000000,2920000000,3090000000,3950000000,5170000000,5280000000,5670000000,8650000000,9330000000,10200000000,9720000000,10400000000,10200000000,10100000000,9580000000
Angola,,,,,,,,,,,,,,,,,,,343000000,505000000,497000000,619000000,668000000,779000000,1070000000,1150000000,1160000000,1490000000,1470000000,1950000000,1750000000,1030000000,794000000,1770000000,595000000,234000000,160000000,457000000,170000000,1070000000,584000000,404000000,439000000,670000000,818000000,1370000000,1970000000,2030000000,3160000000,3310000000,3500000000,3640000000,4140000000,6090000000,6840000000,3610000000,2760000000,3060000000,1980000000
Argentina,,,305000000,242000000,246000000,252000000,279000000,252000000,337000000,443000000,446000000,520000000,766000000,1290000000,1630000000,798000000,2050000000,2060000000,3100000000,5060000000,6480000000,5880000000,2280000000,2850000000,2530000000,2030000000,2450000000,2490000000,2700000000,1440000000,2050000000,2860000000,3250000000,3370000000,3750000000,3800000000,3380000000,3340000000,3400000000,3460000000,3270000000,3180000000,1110000000,1370000000,1470000000,1700000000,1850000000,2300000000,2790000000,2980000000,3480000000,4050000000,4560000000,5140000000,4980000000,5480000000,4510000000,5460000000,4140000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9830000,,52200000,52400000,64100000,66800000,68200000,68100000,66200000,64100000,76600000,98100000,141000000,188000000,280000000,396000000,359000000,395000000,391000000,381000000,445000000,458000000,447000000,431000000,444000000,609000000
Australia,460000000,471000000,489000000,553000000,656000000,787000000,987000000,1200000000,1320000000,1310000000,1280000000,1330000000,1480000000,1860000000,2130000000,2270000000,2440000000,2500000000,2820000000,3100000000,3660000000,4320000000,4460000000,4510000000,4930000000,4390000000,4610000000,5060000000,5840000000,6300000000,6700000000,7020000000,6880000000,6730000000,7460000000,7670000000,8200000000,7940000000,7110000000,7770000000,7270000000,7040000000,7950000000,9930000000,12000000000,13200000000,14200000000,17200000000,18600000000,19000000000,23200000000,26600000000,26200000000,24800000000,25800000000,24000000000,26400000000,27700000000,26700000000
Austria,91600000,91000000,100000000,126000000,165000000,143000000,168000000,177000000,182000000,193000000,200000000,209000000,249000000,329000000,423000000,547000000,581000000,687000000,877000000,1050000000,1150000000,969000000,995000000,992000000,950000000,1040000000,1480000000,1740000000,1710000000,1620000000,1970000000,1990000000,2140000000,2120000000,2230000000,2560000000,2460000000,2160000000,2160000000,2120000000,1930000000,1790000000,1880000000,2380000000,2680000000,2690000000,2640000000,3500000000,3750000000,3330000000,3220000000,3410000000,3190000000,3230000000,3310000000,2670000000,2890000000,3140000000,3370000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100000,77500000,43900000,66200000,71600000,92100000,107000000,120000000,120000000,132000000,140000000,177000000,228000000,305000000,717000000,947000000,1610000000,1470000000,1480000000,3080000000,3250000000,3370000000,3430000000,2940000000,1400000000,1530000000,1710000000
Bahrain,,,,,,,,,,,,11600000,12500000,16800000,26300000,16400000,26300000,40400000,116000000,157000000,175000000,239000000,311000000,184000000,165000000,168000000,178000000,178000000,207000000,218000000,239000000,263000000,279000000,279000000,285000000,303000000,322000000,322000000,330000000,364000000,359000000,372000000,444000000,516000000,532000000,513000000,574000000,643000000,720000000,828000000,843000000,1030000000,1180000000,1350000000,1480000000,1440000000,1510000000,1530000000,1400000000
